id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ACTR8	10	1.2119e-05	1.497e-05	0.001248	1	9	-1.116	0.99638	0.99992	1.0	98	0	-1.116
ACIN1	10	4.1257e-05	2.495e-05	0.001248	2	9	-1.1273	0.99285	0.99992	1.0	97	0	-1.1273
AHCY	10	0.00049561	0.00014471	0.004824	3	8	-0.81869	0.063193	0.45626	1.0	16	2	-0.81869
AATF	10	0.00076969	0.0015419	0.019399	4	9	-0.95663	0.98862	0.99991	1.0	96	0	-0.95663
ABT1	10	0.0021644	0.0015419	0.019399	5	8	-0.82494	0.67244	0.96238	1.0	75	1	-0.82494
AHCTF1	10	0.0031132	0.0015419	0.019399	6	5	-0.47952	0.86698	0.99385	1.0	84	1	-0.47952
ACLY	10	0.0033982	0.0015519	0.019399	7	9	-1.0322	0.99793	1.0	1.0	99	0	-1.0322
ADIRF	10	0.0049051	0.0015519	0.019399	8	8	-0.62158	0.61413	0.96237	1.0	70	2	-0.62158
AGBL5	10	0.007682	0.013209	0.069834	9	9	-0.5788	0.72346	0.97256	1.0	78	1	-0.5788
ACTR3	10	0.0094542	0.013209	0.069834	10	8	-0.58444	0.90497	0.99386	1.0	88	1	-0.58444
ABCF1	10	0.0099721	0.013209	0.069834	11	5	-0.31977	0.13602	0.70902	1.0	31	3	-0.31977
ACTL6A	10	0.018822	0.013258	0.069834	12	8	-0.5809	0.51897	0.95206	1.0	68	2	-0.5809
ACP1	10	0.020886	0.013258	0.069834	13	7	-0.41858	0.9838	0.99991	1.0	95	0	-0.41858
ADRB1	10	0.021963	0.013258	0.069834	14	4	-0.091757	0.29428	0.83987	1.0	51	3	-0.091757
ACAD9	10	0.025749	0.013258	0.069834	15	6	-0.53805	0.044143	0.45625	1.0	13	2	-0.53805
AGPAT5	10	0.028195	0.013268	0.069834	16	8	-0.42116	0.90617	0.99386	1.0	89	1	-0.42116
ACO2	10	0.030038	0.013268	0.069834	17	3	-0.082772	0.76989	0.98329	1.0	80	1	-0.082772
AFMID	10	0.037056	0.013268	0.069834	18	8	-0.49052	0.79997	0.9833	1.0	81	1	-0.49052
ACAD11	10	0.039176	0.013268	0.069834	19	8	-0.36782	0.97511	0.99884	1.0	94	0	-0.36782
ACHE	10	0.042308	0.071692	0.156155	20	6	-0.35897	0.97207	0.99884	1.0	92	0	-0.35897
ACTRT3	10	0.043721	0.071692	0.156155	21	7	-0.64172	0.084797	0.62327	1.0	23	3	-0.64172
ACTR1A	10	0.049425	0.071692	0.156155	22	5	-0.26302	0.021963	0.38517	1.0	7	4	-0.26302
AEN	10	0.051255	0.071692	0.156155	23	8	-0.39594	0.40472	0.89977	1.0	59	1	-0.39594
AFF3	10	0.062813	0.071702	0.156155	24	7	-0.48046	0.8686	0.99385	1.0	85	1	-0.48046
AAAS	10	0.06446	0.071702	0.156155	25	6	-0.51933	0.97286	0.99884	1.0	93	0	-0.51933
ABL1	10	0.088654	0.071821	0.156155	26	7	-0.48017	0.32498	0.86308	1.0	55	1	-0.48017
ADD3	10	0.090109	0.071821	0.156155	27	6	-0.35728	0.42462	0.89977	1.0	60	2	-0.35728
ACVR1B	10	0.091257	0.071821	0.156155	28	6	-0.36783	0.19552	0.72683	1.0	37	2	-0.36783
AEBP1	10	0.09547	0.071821	0.156155	29	7	-0.31366	0.86201	0.99385	1.0	83	1	-0.31366
