sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ADRA1A_m26722428	ADRA1A	0/0	58.059/164.4	4.3363	111.23	4.3945	0	54.999	14.413	1	2.9547e-47	5.9095e-47	4.4753e-44	True
AHRR_p344008	AHRR	270.64/216.81	1333.2/1340.7	243.73	1337	2.4508	1448.7	5794.2	14.362	1	4.4797e-47	8.9595e-47	4.4753e-44	True
ADNP2_m77891006	ADNP2	0/0	13.44/150.61	4.3363	82.026	3.9597	0	54.999	10.476	1	7.7421e-26	1.5484e-25	5.1562e-23	True
ADRBK1_m67034181	ADRBK1	400.42/856.85	2041.2/1396.4	628.64	1718.8	1.4496	1.0416e+05	17378	8.2697	1	6.7132e-17	1.3426e-16	3.3532e-14	True
ACAD9_m128598565	ACAD9	796.1/903.68	2154.1/1829.8	849.89	1992	1.2279	5787.2	24654	7.2737	1	1.7493e-13	3.4986e-13	6.9901e-11	True
ACTR8_m53916081	ACTR8	2073.3/2006.8	166.11/209.84	2040.1	187.98	-3.4331	2211.3	68098	7.0974	6.3282e-13	1	1.2656e-12	2.1073e-10	False
ACIN1_m23538698	ACIN1	3687.7/3729.2	1697.7/615.73	3708.5	1156.7	-1.6799	861.85	1.3628e+05	6.9122	2.386e-12	1	4.772e-12	6.8103e-10	False
ACIN1_m23538803	ACIN1	2619.4/2072.7	909.59/138.87	2346.1	524.23	-2.1598	1.494e+05	80090	6.4375	6.0723e-11	1	1.2145e-10	1.5166e-08	False
ACRC_m70814198	ACRC	82.3/88.46	381.15/318.59	85.38	349.87	2.0221	18.972	1719.6	6.378	1	9.1518e-11	1.8304e-10	2.0317e-08	True
AHCY_p32883238	AHCY	66.473/213.35	523.61/403.85	139.91	463.73	1.7216	10786	3046.2	5.8671	1	2.2303e-09	4.4606e-09	4.4561e-07	True
ACTR8_m53916067	ACTR8	1364.3/1129.2	213.96/37.781	1246.7	125.87	-3.2979	27640	38453	5.7191	5.3536e-09	1	1.0707e-08	9.7242e-07	False
ABT1_m26597388	ABT1	1877.1/1934	713.37/251.19	1905.5	482.28	-1.98	1619	62913	5.6743	6.9632e-09	1	1.3926e-08	1.1531e-06	False
AHCY_m32883247	AHCY	1229.8/1073.7	96.228/89.857	1151.7	93.043	-3.6156	12183	35074	5.6615	7.5024e-09	1	1.5005e-08	1.1531e-06	False
ACSS2_p33500893	ACSS2	101.29/437.1	606.4/827.61	269.2	717	1.41	56383	6501.4	5.5538	1	1.3986e-08	2.7972e-08	1.996e-06	True
ACTR8_m53916096	ACTR8	1851.8/983.47	303.74/198.09	1417.6	250.92	-2.4935	3.7696e+05	44634	5.5225	1.671e-08	1	3.342e-08	2.2258e-06	False
AHCTF1_m247070906	AHCTF1	1161.7/1571.5	297.28/173.08	1366.6	235.18	-2.5337	83956	42775	5.4706	2.2423e-08	1	4.4846e-08	2.8e-06	False
AHCTF1_m247070995	AHCTF1	1547.9/1070.2	273.09/143.98	1309	208.53	-2.6444	1.1409e+05	40692	5.4559	2.4368e-08	1	4.8737e-08	2.864e-06	False
ABCF1_p30545878	ABCF1	2166.7/1942.7	906.9/385.47	2054.7	646.19	-1.6674	25101	68664	5.3752	3.8251e-08	1	7.6502e-08	4.2459e-06	False
ABCC1_p16101710	ABCC1	56.977/26.018	173.64/200.14	41.498	186.89	2.1444	479.25	746.32	5.322	1	5.4849e-08	1.097e-07	5.7678e-06	True
ADCY1_p45614315	ADCY1	3.1654/71.115	179.55/166.95	37.14	173.25	2.1918	2308.6	656.47	5.3124	1	5.8405e-08	1.1681e-07	5.8346e-06	True
ACRC_p70811990	ACRC	533.37/591.47	988.08/1443.3	562.42	1215.7	1.1107	1687.8	15273	5.2861	1	6.2469e-08	1.2494e-07	5.9435e-06	True
AHCY_p32883309	AHCY	1134.8/862.06	90.852/94.452	998.43	92.652	-3.4157	37194	29718	5.263	7.0847e-08	1	1.4169e-07	6.4342e-06	False
ACLY_p40070033	ACLY	1717.2/1082.3	516.08/113.85	1399.8	314.97	-2.1484	2.0154e+05	43983	5.1727	1.1537e-07	1	2.3075e-07	1.0022e-05	False
ACBD6_p180471256	ACBD6	115.54/279.26	471.46/613.69	197.4	542.57	1.4541	13402	4538.5	5.1237	1	1.5003e-07	3.0005e-07	1.249e-05	True
ADAR_m154574103	ADAR	142.44/130.09	237.07/587.65	136.27	412.36	1.5904	76.315	2954.5	5.0794	1	1.9045e-07	3.8089e-07	1.522e-05	True
ADRB1_m115804012	ADRB1	2332.9/1897.6	931.63/629.51	2115.2	780.57	-1.437	94761	71018	5.0083	2.7462e-07	1	5.4924e-07	2.1103e-05	False
ACTR1A_p104250290	ACTR1A	652.07/721.56	1742.8/1000.2	686.82	1371.5	0.99672	2414.2	19256	4.9342	1	4.0248e-07	8.0495e-07	2.9783e-05	True
ABT1_p26597300	ABT1	1682.4/745.84	359.64/196.56	1214.1	278.1	-2.1222	4.3858e+05	37289	4.8473	6.2571e-07	1	1.2514e-06	4.4649e-05	False
ACTR1A_p104262383	ACTR1A	1335.8/816.96	183.85/320.12	1076.4	251.99	-2.0904	1.346e+05	32427	4.5782	2.3452e-06	1	4.6904e-06	0.00016158	False
ABCF1_p30539251	ABCF1	1213.9/1170.8	316.64/330.33	1192.4	323.48	-1.8788	930.23	36515	4.547	2.7202e-06	1	5.4403e-06	0.00018116	False
AHCY_p32883253	AHCY	701.14/858.59	202.13/16.848	779.86	109.49	-2.8212	12395	22313	4.4931	3.5089e-06	1	7.0177e-06	0.00022448	False
ACTL6A_p179287966	ACTL6A	1592.2/711.15	467.16/155.21	1151.7	311.18	-1.8845	3.8812e+05	35073	4.488	3.5953e-06	1	7.1906e-06	0.00022448	False
AATF_m35306482	AATF	900.56/1259.3	399.43/158.78	1079.9	279.1	-1.9482	64334	32550	4.4387	4.5252e-06	1	9.0504e-06	0.00027398	False
ABCF1_p30545587	ABCF1	52.229/242.83	567.15/222.09	147.53	394.62	1.4134	18165	3239.2	4.3415	0.99999	7.1101e-06	1.422e-05	0.00041782	True
AATF_p35306410	AATF	2256.9/1914.9	1340.7/562.12	2085.9	951.43	-1.1317	58491	69877	4.2918	8.8631e-06	0.99999	1.7726e-05	0.00050595	False
AAK1_m69870125	AAK1	433.66/607.08	979.48/1072.7	520.37	1026.1	0.97816	15037	13957	4.2805	0.99999	9.3231e-06	1.8646e-05	0.00051743	True
ADAP1_m994071	ADAP1	1236.1/702.48	223.64/307.86	969.28	265.75	-1.8629	1.4237e+05	28715	4.1519	1.6489e-05	0.99998	3.2978e-05	0.00089041	False
ACTR3_p114691894	ACTR3	2337.7/2197.6	1198.3/1038.5	2267.6	1118.4	-1.0191	9802.4	76991	4.1419	1.722e-05	0.99998	3.444e-05	0.00090541	False
AHNAK2_m105423836	AHNAK2	316.54/797.88	1166.6/962.9	557.21	1064.7	0.93297	1.1584e+05	15109	4.1289	0.99998	1.8227e-05	3.6455e-05	0.0009338	True
AATK_m79102275	AATK	982.86/754.52	2455.7/566.2	868.69	1510.9	0.79784	26070	25287	4.0389	0.99997	2.6854e-05	5.3708e-05	0.0013414	True
ACHE_p100491821	ACHE	930.63/1087.5	325.78/295.61	1009.1	310.69	-1.6963	12311	30087	4.0264	2.8322e-05	0.99997	5.6643e-05	0.0013518	False
ADRB1_m115804005	ADRB1	1449.8/1547.2	674.67/565.69	1498.5	620.18	-1.2714	4746.8	47601	4.0256	2.8416e-05	0.99997	5.6832e-05	0.0013518	False
ABCB8_p150725605	ABCB8	161.44/253.24	750.47/218.52	207.34	484.49	1.2205	4214	4804.3	3.9986	0.99997	3.1902e-05	6.3805e-05	0.0014232	True
ACAT2_p160183972	ACAT2	148.77/270.58	376.31/600.92	209.68	488.62	1.2166	7418.9	4867.2	3.9982	0.99997	3.1954e-05	6.3908e-05	0.0014232	True
ADCK1_p78285331	ADCK1	859.41/751.05	1260.1/1566.9	805.23	1413.5	0.81103	5871.1	23157	3.9972	0.99997	3.2053e-05	6.4106e-05	0.0014232	True
ADAM12_p128019039	ADAM12	1964.1/796.14	563.93/540.17	1380.1	552.05	-1.3204	6.821e+05	43267	3.9811	3.4305e-05	0.99997	6.861e-05	0.00149	False
ACTR8_m53916047	ACTR8	2674.8/2294.8	1851.4/812.8	2484.8	1332.1	-0.89888	72200	85612	3.9394	4.0847e-05	0.99996	8.1694e-05	0.0017364	False
ACVR1B_m52369170	ACVR1B	443.16/811.75	826.8/1460.7	627.46	1143.7	0.86515	67932	17340	3.9208	0.99996	4.4124e-05	8.8248e-05	0.0018367	True
AGPAT5_m6566233	AGPAT5	3594.3/3783	2420.2/2111.1	3688.6	2265.7	-0.70291	17798	1.3544e+05	3.8666	5.5186e-05	0.99994	0.00011037	0.00224	False
ADRA1B_m159344001	ADRA1B	354.53/301.81	751.54/603.47	328.17	677.51	1.0436	1389.7	8179	3.8628	0.99994	5.6056e-05	0.00011211	0.00224	True
ACTR1A_m104250365	ACTR1A	433.66/157.84	606.4/639.21	295.75	622.8	1.0718	38038	7250.3	3.841	0.99994	6.1288e-05	0.00012258	0.002401	True
ABT1_p26597266	ABT1	1062/728.5	279.54/269.57	895.25	274.56	-1.7015	55610	26186	3.8357	6.2603e-05	0.99994	0.00012521	0.0024054	False
ADARB1_m46595721	ADARB1	246.9/718.09	1010.7/815.86	482.5	913.26	0.9191	1.1101e+05	12786	3.8095	0.99993	6.963e-05	0.00013926	0.0026249	True
ACTR3_m114688941	ACTR3	1236.1/1021.6	691.33/166.44	1128.9	428.89	-1.3941	22996	34268	3.7813	7.8016e-05	0.99992	0.00015603	0.0028866	False
ADI1_p3517642	ADI1	281.72/390.27	346.2/1015.5	335.99	680.85	1.0167	5891.1	8405.6	3.7614	0.99992	8.4484e-05	0.00016897	0.0030691	True
AFF3_m100625363	AFF3	1248.8/744.11	430.61/272.13	996.43	351.37	-1.5011	1.2733e+05	29649	3.7462	8.9751e-05	0.99991	0.0001795	0.0032022	False
ADARB2_m1779330	ADARB2	145.61/116.21	299.43/356.88	130.91	328.16	1.3192	432.06	2820.5	3.714	0.9999	0.0001027	0.0002054	0.0035378	True
AAK1_m69870137	AAK1	1432.3/509.95	275.24/407.42	971.15	341.33	-1.5058	4.2541e+05	28779	3.7126	0.00010257	0.9999	0.00020513	0.0035378	False
AGPAT3_p45379592	AGPAT3	1161.7/440.57	255.89/224.13	801.14	240.01	-1.7347	2.6002e+05	23021	3.6984	0.00010847	0.99989	0.00021694	0.0036565	False
