id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LPHN3	1	0.00019608	0.00018281	0.430693	1	1	-2.9923	0.9998	0.99981	0.999809	2356	0	-2.9923
SIRPB1	2	0.00044018	0.000851	0.557859	2	2	-1.5791	0.99956	0.99952	0.999809	2355	0	-1.5791
UNC119	1	0.00098039	0.00097287	0.557859	3	1	-2.3148	0.99902	0.99906	0.999809	2354	0	-2.3148
CADPS	2	0.0011761	0.002305	0.557859	4	1	-1.2844	0.45819	0.4572	0.767594	1199	0	-1.2844
CACNA1G	1	0.0039216	0.0037885	0.557859	5	1	-1.9934	0.99608	0.99622	0.99749	2342	0	-1.9934
ESM1	1	0.0039216	0.0037885	0.557859	6	1	-1.9934	0.99608	0.99622	0.99749	2343	0	-1.9934
TMEM198	1	0.0039216	0.0037885	0.557859	7	1	-1.9934	0.99608	0.99622	0.99749	2344	0	-1.9934
LDLR	1	0.0039216	0.0037885	0.557859	8	1	-1.9934	0.99608	0.99622	0.99749	2345	0	-1.9934
CFH	1	0.0039216	0.0037885	0.557859	9	1	-1.9934	0.99608	0.99622	0.99749	2346	0	-1.9934
OAS1	1	0.0039216	0.0037885	0.557859	10	1	-1.9934	0.99608	0.99622	0.99749	2347	0	-1.9934
AQP10	1	0.0039216	0.0037885	0.557859	11	1	-1.9934	0.99608	0.99622	0.99749	2351	0	-1.9934
GH1	1	0.0039216	0.0037885	0.557859	12	1	-1.9934	0.99608	0.99622	0.99749	2349	0	-1.9934
DNMT3A	1	0.0039216	0.0037885	0.557859	13	1	-1.9934	0.99608	0.99622	0.99749	2350	0	-1.9934
C14orf133	1	0.0039216	0.0037885	0.557859	14	1	-1.9934	0.99608	0.99622	0.99749	2353	0	-1.9934
STAT5A	1	0.0039216	0.0037885	0.557859	15	1	-1.9934	0.99608	0.99622	0.99749	2348	0	-1.9934
MCM9	1	0.0039216	0.0037885	0.557859	16	1	-1.9934	0.99608	0.99622	0.99749	2352	0	-1.9934
MUC1	2	0.0078278	0.0097518	0.570848	17	1	-0.99224	0.45819	0.4572	0.767594	1142	0	-0.99224
NR1I3	2	0.0078278	0.0097518	0.570848	18	1	-0.99224	0.45819	0.4572	0.767594	1095	0	-0.99224
PML	2	0.013678	0.015379	0.570848	19	1	-0.85976	0.92773	0.92742	0.957491	2264	0	-0.85976
SMG7	1	0.02098	0.020935	0.570848	20	1	-1.5791	0.97902	0.97899	0.985267	2284	0	-1.5791
LGALS14	1	0.02098	0.020935	0.570848	21	1	-1.5791	0.97902	0.97899	0.985267	2285	0	-1.5791
TEN1	1	0.02098	0.020935	0.570848	22	1	-1.5791	0.97902	0.97899	0.985267	2290	0	-1.5791
ZNF276	1	0.02098	0.020935	0.570848	23	1	-1.5791	0.97902	0.97899	0.985267	2283	0	-1.5791
EML2	1	0.02098	0.020935	0.570848	24	1	-1.5791	0.97902	0.97899	0.985267	2288	0	-1.5791
CHST13	1	0.02098	0.020935	0.570848	25	1	-1.5791	0.97902	0.97899	0.985267	2289	0	-1.5791
SLC26A9	1	0.02098	0.020935	0.570848	26	1	-1.5791	0.97902	0.97899	0.985267	2286	0	-1.5791
MYOM3	1	0.02098	0.020935	0.570848	27	1	-1.5791	0.97902	0.97899	0.985267	2292	0	-1.5791
UGT2A1	1	0.02098	0.020935	0.570848	28	1	-1.5791	0.97902	0.97899	0.985267	2291	0	-1.5791
UBE2Q2	1	0.02098	0.020935	0.570848	29	1	-1.5791	0.97902	0.97899	0.985267	2332	0	-1.5791
TLR10	1	0.02098	0.020935	0.570848	30	1	-1.5791	0.97902	0.97899	0.985267	2293	0	-1.5791
CNGB1	1	0.02098	0.020935	0.570848	31	1	-1.5791	0.97902	0.97899	0.985267	2296	0	-1.5791
MNT	1	0.02098	0.020935	0.570848	32	1	-1.5791	0.97902	0.97899	0.985267	2295	0	-1.5791
MRVI1	1	0.02098	0.020935	0.570848	33	1	-1.5791	0.97902	0.97899	0.985267	2294	0	-1.5791
SIPA1	1	0.02098	0.020935	0.570848	34	1	-1.5791	0.97902	0.97899	0.985267	2297	0	-1.5791
S100B	1	0.02098	0.020935	0.570848	35	1	-1.5791	0.97902	0.97899	0.985267	2287	0	-1.5791
SEMA4F	1	0.02098	0.020935	0.570848	36	1	-1.5791	0.97902	0.97899	0.985267	2298	0	-1.5791
C6orf162	1	0.02098	0.020935	0.570848	37	1	-1.5791	0.97902	0.97899	0.985267	2299	0	-1.5791
RNF144A	1	0.02098	0.020935	0.570848	38	1	-1.5791	0.97902	0.97899	0.985267	2300	0	-1.5791
CPA5	1	0.02098	0.020935	0.570848	39	1	-1.5791	0.97902	0.97899	0.985267	2301	0	-1.5791
DLX3	1	0.02098	0.020935	0.570848	40	1	-1.5791	0.97902	0.97899	0.985267	2302	0	-1.5791
TRMT61B	1	0.02098	0.020935	0.570848	41	1	-1.5791	0.97902	0.97899	0.985267	2303	0	-1.5791
PROKR1	1	0.02098	0.020935	0.570848	42	1	-1.5791	0.97902	0.97899	0.985267	2304	0	-1.5791
GRP	1	0.02098	0.020935	0.570848	43	1	-1.5791	0.97902	0.97899	0.985267	2305	0	-1.5791
B4GALT7	1	0.02098	0.020935	0.570848	44	1	-1.5791	0.97902	0.97899	0.985267	2306	0	-1.5791
CPLX3	1	0.02098	0.020935	0.570848	45	1	-1.5791	0.97902	0.97899	0.985267	2307	0	-1.5791
AMMECR1L	1	0.02098	0.020935	0.570848	46	1	-1.5791	0.97902	0.97899	0.985267	2308	0	-1.5791
NCAPH2	1	0.02098	0.020935	0.570848	47	1	-1.5791	0.97902	0.97899	0.985267	2309	0	-1.5791
AQP9	1	0.02098	0.020935	0.570848	48	1	-1.5791	0.97902	0.97899	0.985267	2310	0	-1.5791
CCDC120	1	0.02098	0.020935	0.570848	49	1	-1.5791	0.97902	0.97899	0.985267	2311	0	-1.5791
LMX1A	1	0.02098	0.020935	0.570848	50	1	-1.5791	0.97902	0.97899	0.985267	2312	0	-1.5791
ZBTB47	1	0.02098	0.020935	0.570848	51	1	-1.5791	0.97902	0.97899	0.985267	2333	0	-1.5791
ING4	1	0.02098	0.020935	0.570848	52	1	-1.5791	0.97902	0.97899	0.985267	2313	0	-1.5791
PLOD1	1	0.02098	0.020935	0.570848	53	1	-1.5791	0.97902	0.97899	0.985267	2314	0	-1.5791
ADAM18	1	0.02098	0.020935	0.570848	54	1	-1.5791	0.97902	0.97899	0.985267	2315	0	-1.5791
C7orf10	1	0.02098	0.020935	0.570848	55	1	-1.5791	0.97902	0.97899	0.985267	2316	0	-1.5791
RDH10	1	0.02098	0.020935	0.570848	56	1	-1.5791	0.97902	0.97899	0.985267	2317	0	-1.5791
DGKI	1	0.02098	0.020935	0.570848	57	1	-1.5791	0.97902	0.97899	0.985267	2318	0	-1.5791
PROM1	1	0.02098	0.020935	0.570848	58	1	-1.5791	0.97902	0.97899	0.985267	2319	0	-1.5791
SYN1	1	0.02098	0.020935	0.570848	59	1	-0.5746	0.97902	0.97899	0.985267	2320	0	-0.5746
WDR66	1	0.02098	0.020935	0.570848	60	1	-0.5746	0.97902	0.97899	0.985267	2321	0	-0.5746
PTMA	1	0.02098	0.020935	0.570848	61	1	-0.5746	0.97902	0.97899	0.985267	2322	0	-0.5746
ZP4	1	0.02098	0.020935	0.570848	62	1	-0.5746	0.97902	0.97899	0.985267	2323	0	-0.5746
SLC25A13	1	0.02098	0.020935	0.570848	63	1	-1.5791	0.97902	0.97899	0.985267	2324	0	-1.5791
C15orf39	1	0.02098	0.020935	0.570848	64	1	-1.5791	0.97902	0.97899	0.985267	2325	0	-1.5791
ZNF200	1	0.02098	0.020935	0.570848	65	1	-1.5791	0.97902	0.97899	0.985267	2326	0	-1.5791
REEP1	1	0.02098	0.020935	0.570848	66	1	-1.5791	0.97902	0.97899	0.985267	2327	0	-1.5791
HIPK4	1	0.02098	0.020935	0.570848	67	1	-1.5791	0.97902	0.97899	0.985267	2339	0	-1.5791
SORBS1	1	0.02098	0.020935	0.570848	68	1	-1.5791	0.97902	0.97899	0.985267	2341	0	-1.5791
ARHGAP26	1	0.02098	0.020935	0.570848	69	1	-1.5791	0.97902	0.97899	0.985267	2328	0	-1.5791
ADARB1	1	0.02098	0.020935	0.570848	70	1	-1.5791	0.97902	0.97899	0.985267	2340	0	-1.5791
MPP7	1	0.02098	0.020935	0.570848	71	1	-1.5791	0.97902	0.97899	0.985267	2329	0	-1.5791
OR7D4	1	0.02098	0.020935	0.570848	72	1	-1.5791	0.97902	0.97899	0.985267	2330	0	-1.5791
TRAK1	1	0.02098	0.020935	0.570848	73	1	-1.5791	0.97902	0.97899	0.985267	2335	0	-1.5791
MAGEE2	1	0.02098	0.020935	0.570848	74	1	-1.5791	0.97902	0.97899	0.985267	2337	0	-1.5791
DPYD	1	0.02098	0.020935	0.570848	75	1	-1.5791	0.97902	0.97899	0.985267	2334	0	-1.5791
GUK1	1	0.02098	0.020935	0.570848	76	1	-1.5791	0.97902	0.97899	0.985267	2338	0	-1.5791
PLAC8L1	1	0.02098	0.020935	0.570848	77	1	-1.5791	0.97902	0.97899	0.985267	2331	0	-1.5791
JMJD1C	1	0.02098	0.020935	0.570848	78	1	-1.5791	0.97902	0.97899	0.985267	2336	0	-1.5791
CSF3	2	0.041521	0.042275	0.570848	79	1	-1.2873	0.92773	0.92742	0.957491	2261	0	-1.2873
SLC34A3	2	0.041521	0.042275	0.570848	80	1	-0.28286	0.45819	0.4572	0.767594	1183	0	-0.28286
AEN	2	0.041521	0.042275	0.570848	81	1	-0.78509	0.45819	0.4572	0.767594	1169	0	-0.78509
EPB41L1	2	0.041521	0.042275	0.570848	82	1	-1.2873	0.92773	0.92742	0.957491	2272	0	-1.2873
LOXHD1	2	0.041521	0.042275	0.570848	83	1	-0.78509	0.45819	0.4572	0.767594	1195	0	-0.78509
CIZ1	2	0.041521	0.042275	0.570848	84	1	-1.2873	0.92773	0.92742	0.957491	2259	0	-1.2873
MAP6	2	0.041521	0.042275	0.570848	85	1	-1.2873	0.92773	0.92742	0.957491	2250	0	-1.2873
NUSAP1	2	0.041521	0.042275	0.570848	86	1	-1.2873	0.92773	0.92742	0.957491	2254	0	-1.2873
TRPC4	2	0.041521	0.042275	0.570848	87	1	-0.78509	0.45819	0.4572	0.767594	1124	0	-0.78509
PRLR	2	0.041521	0.042275	0.570848	88	1	-0.78509	0.45819	0.4572	0.767594	1115	0	-0.78509
IL13	1	0.26882	0.26846	0.570848	89	0	-0.99558	0.73118	0.7311	0.767594	1280	0	-0.99558
AKAP4	1	0.26882	0.26846	0.570848	90	0	-0.99558	0.73118	0.7311	0.767594	1281	0	-0.99558
C17orf39	1	0.26882	0.26846	0.570848	91	0	-0.99558	0.73118	0.7311	0.767594	1274	0	-0.99558
LIPJ	1	0.26882	0.26846	0.570848	92	0	-0.99558	0.73118	0.7311	0.767594	1275	0	-0.99558
TNIP1	1	0.26882	0.26846	0.570848	93	0	-0.99558	0.73118	0.7311	0.767594	1257	0	-0.99558
RAB17	1	0.26882	0.26846	0.570848	94	0	-0.99558	0.73118	0.7311	0.767594	1235	0	-0.99558
DDX58	1	0.26882	0.26846	0.570848	95	0	-0.99558	0.73118	0.7311	0.767594	1278	0	-0.99558
STX5	1	0.26882	0.26846	0.570848	96	0	-0.99558	0.73118	0.7311	0.767594	1279	0	-0.99558
ZNF776	1	0.26882	0.26846	0.570848	97	0	-0.99558	0.73118	0.7311	0.767594	1277	0	-0.99558
PTPN7	1	0.26882	0.26846	0.570848	98	0	-0.99558	0.73118	0.7311	0.767594	1283	0	-0.99558
TLR3	1	0.26882	0.26846	0.570848	99	0	-0.99558	0.73118	0.7311	0.767594	1288	0	-0.99558
TRMT1L	1	0.26882	0.26846	0.570848	100	0	-0.99558	0.73118	0.7311	0.767594	1285	0	-0.99558
FAM53A	1	0.26882	0.26846	0.570848	101	0	-0.99558	0.73118	0.7311	0.767594	1282	0	-0.99558
ODAM	1	0.26882	0.26846	0.570848	102	0	-0.99558	0.73118	0.7311	0.767594	1287	0	-0.99558
SIGLEC1	1	0.26882	0.26846	0.570848	103	0	-0.99558	0.73118	0.7311	0.767594	1276	0	-0.99558
FAM186A	1	0.26882	0.26846	0.570848	104	0	-0.99558	0.73118	0.7311	0.767594	1289	0	-0.99558
SUCLG1	1	0.26882	0.26846	0.570848	105	0	-0.99558	0.73118	0.7311	0.767594	1286	0	-0.99558
RNF130	1	0.26882	0.26846	0.570848	106	0	-0.99558	0.73118	0.7311	0.767594	1231	0	-0.99558
RP4-697K14.7	1	0.26882	0.26846	0.570848	107	0	-0.99558	0.73118	0.7311	0.767594	1232	0	-0.99558
UBE2V2	1	0.26882	0.26846	0.570848	108	0	-0.99558	0.73118	0.7311	0.767594	1225	0	-0.99558
C7orf59	1	0.26882	0.26846	0.570848	109	0	-0.99558	0.73118	0.7311	0.767594	1226	0	-0.99558
ITGA11	1	0.26882	0.26846	0.570848	110	0	-0.99558	0.73118	0.7311	0.767594	1251	0	-0.99558
AP2A1	1	0.26882	0.26846	0.570848	111	0	-0.99558	0.73118	0.7311	0.767594	1252	0	-0.99558
C10orf128	1	0.26882	0.26846	0.570848	112	0	-0.99558	0.73118	0.7311	0.767594	1229	0	-0.99558
CCT7	1	0.26882	0.26846	0.570848	113	0	-0.99558	0.73118	0.7311	0.767594	1230	0	-0.99558
ZFYVE28	1	0.26882	0.26846	0.570848	114	0	-0.99558	0.73118	0.7311	0.767594	1228	0	-0.99558
PLEC	1	0.26882	0.26846	0.570848	115	0	-0.99558	0.73118	0.7311	0.767594	1234	0	-0.99558
ABI1	1	0.26882	0.26846	0.570848	116	0	-0.99558	0.73118	0.7311	0.767594	1239	0	-0.99558
SLMO1	1	0.26882	0.26846	0.570848	117	0	-0.99558	0.73118	0.7311	0.767594	1236	0	-0.99558
HPD	1	0.26882	0.26846	0.570848	118	0	-0.99558	0.73118	0.7311	0.767594	1233	0	-0.99558
WTAP	1	0.26882	0.26846	0.570848	119	0	-0.99558	0.73118	0.7311	0.767594	1238	0	-0.99558
FAM65B	1	0.26882	0.26846	0.570848	120	0	-0.99558	0.73118	0.7311	0.767594	1227	0	-0.99558
MANSC1	1	0.26882	0.26846	0.570848	121	0	-0.99558	0.73118	0.7311	0.767594	1240	0	-0.99558
RDH13	1	0.26882	0.26846	0.570848	122	0	-0.99558	0.73118	0.7311	0.767594	1237	0	-0.99558
TBC1D10C	1	0.26882	0.26846	0.570848	123	0	-0.99558	0.73118	0.7311	0.767594	1436	0	-0.99558
ARAP2	1	0.26882	0.26846	0.570848	124	0	-0.99558	0.73118	0.7311	0.767594	1437	0	-0.99558
THNSL1	1	0.26882	0.26846	0.570848	125	0	-0.99558	0.73118	0.7311	0.767594	1438	0	-0.99558
TMEM107	1	0.26882	0.26846	0.570848	126	0	-0.99558	0.73118	0.7311	0.767594	1439	0	-0.99558
GEMIN5	1	0.26882	0.26846	0.570848	127	0	-0.99558	0.73118	0.7311	0.767594	1440	0	-0.99558
HRC	1	0.26882	0.26846	0.570848	128	0	-0.99558	0.73118	0.7311	0.767594	1441	0	-0.99558
TACO1	1	0.26882	0.26846	0.570848	129	0	-0.99558	0.73118	0.7311	0.767594	1442	0	-0.99558
COG8	1	0.26882	0.26846	0.570848	130	0	-0.99558	0.73118	0.7311	0.767594	1443	0	-0.99558
4-Mar	1	0.26882	0.26846	0.570848	131	0	-0.99558	0.73118	0.7311	0.767594	1449	0	-0.99558
CCDC170	1	0.26882	0.26846	0.570848	132	0	-0.99558	0.73118	0.7311	0.767594	1447	0	-0.99558
ZC3H7A	1	0.26882	0.26846	0.570848	133	0	-0.99558	0.73118	0.7311	0.767594	1444	0	-0.99558
RP11-428C6.1	1	0.26882	0.26846	0.570848	134	0	-0.99558	0.73118	0.7311	0.767594	1425	0	-0.99558
TMEM231	1	0.26882	0.26846	0.570848	135	0	-0.99558	0.73118	0.7311	0.767594	1446	0	-0.99558
GPM6B	1	0.26882	0.26846	0.570848	136	0	-0.99558	0.73118	0.7311	0.767594	1451	0	-0.99558
DCLRE1A	1	0.26882	0.26846	0.570848	137	0	-0.99558	0.73118	0.7311	0.767594	1448	0	-0.99558
ARMCX4	1	0.26882	0.26846	0.570848	138	0	-0.99558	0.73118	0.7311	0.767594	1445	0	-0.99558
KIF13A	1	0.26882	0.26846	0.570848	139	0	-0.99558	0.73118	0.7311	0.767594	1450	0	-0.99558
SREK1	1	0.26882	0.26846	0.570848	140	0	-0.99558	0.73118	0.7311	0.767594	1259	0	-0.99558
PRPF18	1	0.26882	0.26846	0.570848	141	0	-0.99558	0.73118	0.7311	0.767594	1264	0	-0.99558
DDI1	1	0.26882	0.26846	0.570848	142	0	-0.99558	0.73118	0.7311	0.767594	1261	0	-0.99558
DMXL2	1	0.26882	0.26846	0.570848	143	0	-0.99558	0.73118	0.7311	0.767594	1258	0	-0.99558
ACSL1	1	0.26882	0.26846	0.570848	144	0	-0.99558	0.73118	0.7311	0.767594	1263	0	-0.99558
RAB3IP	1	0.26882	0.26846	0.570848	145	0	-0.99558	0.73118	0.7311	0.767594	1284	0	-0.99558
DYNC2LI1	1	0.26882	0.26846	0.570848	146	0	-0.99558	0.73118	0.7311	0.767594	1265	0	-0.99558
IQCF1	1	0.26882	0.26846	0.570848	147	0	-0.99558	0.73118	0.7311	0.767594	1262	0	-0.99558
TMEM132B	1	0.26882	0.26846	0.570848	148	0	-0.99558	0.73118	0.7311	0.767594	1260	0	-0.99558
MRRF	1	0.26882	0.26846	0.570848	149	0	-0.99558	0.73118	0.7311	0.767594	1266	0	-0.99558
NME7	1	0.26882	0.26846	0.570848	150	0	-0.99558	0.73118	0.7311	0.767594	1267	0	-0.99558
FAM71E1	1	0.26882	0.26846	0.570848	151	0	-0.99558	0.73118	0.7311	0.767594	1268	0	-0.99558
ZNF442	1	0.26882	0.26846	0.570848	152	0	-0.99558	0.73118	0.7311	0.767594	1269	0	-0.99558
PUM1	1	0.26882	0.26846	0.570848	153	0	-0.99558	0.73118	0.7311	0.767594	1270	0	-0.99558
MACROD2	1	0.26882	0.26846	0.570848	154	0	-0.99558	0.73118	0.7311	0.767594	1271	0	-0.99558
IYD	1	0.26882	0.26846	0.570848	155	0	-0.99558	0.73118	0.7311	0.767594	1272	0	-0.99558
ASAP1	1	0.26882	0.26846	0.570848	156	0	-0.99558	0.73118	0.7311	0.767594	1273	0	-0.99558
TRIO	1	0.26882	0.26846	0.570848	157	0	-0.99558	0.73118	0.7311	0.767594	1344	0	-0.99558
COX4I2	1	0.26882	0.26846	0.570848	158	0	-0.99558	0.73118	0.7311	0.767594	1322	0	-0.99558
RAD51C	1	0.26882	0.26846	0.570848	159	0	-0.99558	0.73118	0.7311	0.767594	1346	0	-0.99558
MPDZ	1	0.26882	0.26846	0.570848	160	0	-0.99558	0.73118	0.7311	0.767594	1343	0	-0.99558
PLEKHG6	1	0.26882	0.26846	0.570848	161	0	-0.99558	0.73118	0.7311	0.767594	1298	0	-0.99558
TERF1	1	0.26882	0.26846	0.570848	162	0	-0.99558	0.73118	0.7311	0.767594	1299	0	-0.99558
AAK1	1	0.26882	0.26846	0.570848	163	0	-0.99558	0.73118	0.7311	0.767594	1300	0	-0.99558
RAB24	1	0.26882	0.26846	0.570848	164	0	-0.99558	0.73118	0.7311	0.767594	1301	0	-0.99558
ZDHHC16	1	0.26882	0.26846	0.570848	165	0	-0.99558	0.73118	0.7311	0.767594	1345	0	-0.99558
LRRC42	1	0.26882	0.26846	0.570848	166	0	-0.99558	0.73118	0.7311	0.767594	1351	0	-0.99558
GRN	1	0.26882	0.26846	0.570848	167	0	-0.99558	0.73118	0.7311	0.767594	1352	0	-0.99558
VAV2	1	0.26882	0.26846	0.570848	168	0	-0.99558	0.73118	0.7311	0.767594	1353	0	-0.99558
CENPL	1	0.26882	0.26846	0.570848	169	0	-0.99558	0.73118	0.7311	0.767594	1354	0	-0.99558
WISP1	1	0.26882	0.26846	0.570848	170	0	-0.99558	0.73118	0.7311	0.767594	1339	0	-0.99558
NCKIPSD	1	0.26882	0.26846	0.570848	171	0	-0.99558	0.73118	0.7311	0.767594	1340	0	-0.99558
UBXN6	1	0.26882	0.26846	0.570848	172	0	-0.99558	0.73118	0.7311	0.767594	1341	0	-0.99558
ELOF1	1	0.26882	0.26846	0.570848	173	0	-0.99558	0.73118	0.7311	0.767594	1342	0	-0.99558
GTF2A2	1	0.26882	0.26846	0.570848	174	0	-0.99558	0.73118	0.7311	0.767594	1295	0	-0.99558
EXOC3L4	1	0.26882	0.26846	0.570848	175	0	-0.99558	0.73118	0.7311	0.767594	1316	0	-0.99558
C2orf62	1	0.26882	0.26846	0.570848	176	0	-0.99558	0.73118	0.7311	0.767594	1297	0	-0.99558
PHKG2	1	0.26882	0.26846	0.570848	177	0	-0.99558	0.73118	0.7311	0.767594	1294	0	-0.99558
UNC5B	1	0.26882	0.26846	0.570848	178	0	-0.99558	0.73118	0.7311	0.767594	1315	0	-0.99558
TBC1D15	1	0.26882	0.26846	0.570848	179	0	-0.99558	0.73118	0.7311	0.767594	1320	0	-0.99558
GPX2	1	0.26882	0.26846	0.570848	180	0	-0.99558	0.73118	0.7311	0.767594	1317	0	-0.99558
CAMSAP1	1	0.26882	0.26846	0.570848	181	0	-0.99558	0.73118	0.7311	0.767594	1314	0	-0.99558
IGDCC3	1	0.26882	0.26846	0.570848	182	0	-0.99558	0.73118	0.7311	0.767594	1296	0	-0.99558
ATP2C1	1	0.26882	0.26846	0.570848	183	0	-0.99558	0.73118	0.7311	0.767594	1302	0	-0.99558
OR4X2	1	0.26882	0.26846	0.570848	184	0	-0.99558	0.73118	0.7311	0.767594	1303	0	-0.99558
SMPD4	1	0.26882	0.26846	0.570848	185	0	-0.99558	0.73118	0.7311	0.767594	1304	0	-0.99558
ALG1	1	0.26882	0.26846	0.570848	186	0	-0.99558	0.73118	0.7311	0.767594	1305	0	-0.99558
C12orf74	1	0.26882	0.26846	0.570848	187	0	-0.99558	0.73118	0.7311	0.767594	1290	0	-0.99558
TMEM106C	1	0.26882	0.26846	0.570848	188	0	-0.99558	0.73118	0.7311	0.767594	1291	0	-0.99558
SUPT4H1	1	0.26882	0.26846	0.570848	189	0	-0.99558	0.73118	0.7311	0.767594	1292	0	-0.99558
SLC35A4	1	0.26882	0.26846	0.570848	190	0	-0.99558	0.73118	0.7311	0.767594	1293	0	-0.99558
KCNK10	1	0.26882	0.26846	0.570848	191	0	-0.99558	0.73118	0.7311	0.767594	1248	0	-0.99558
SLC30A6	1	0.26882	0.26846	0.570848	192	0	-0.99558	0.73118	0.7311	0.767594	1245	0	-0.99558
SI	1	0.26882	0.26846	0.570848	193	0	-0.99558	0.73118	0.7311	0.767594	1242	0	-0.99558
MICAL3	1	0.26882	0.26846	0.570848	194	0	-0.99558	0.73118	0.7311	0.767594	1247	0	-0.99558
TMF1	1	0.26882	0.26846	0.570848	195	0	-0.99558	0.73118	0.7311	0.767594	1334	0	-0.99558
C5orf51	1	0.26882	0.26846	0.570848	196	0	-0.99558	0.73118	0.7311	0.767594	1331	0	-0.99558
LMBRD2	1	0.26882	0.26846	0.570848	197	0	-0.99558	0.73118	0.7311	0.767594	1246	0	-0.99558
FAM83B	1	0.26882	0.26846	0.570848	198	0	-0.99558	0.73118	0.7311	0.767594	1333	0	-0.99558
C2orf63	1	0.26882	0.26846	0.570848	199	0	-0.99558	0.73118	0.7311	0.767594	1241	0	-0.99558
FOXP1	1	0.26882	0.26846	0.570848	200	0	-0.99558	0.73118	0.7311	0.767594	1255	0	-0.99558
DZIP1L	1	0.26882	0.26846	0.570848	201	0	-0.99558	0.73118	0.7311	0.767594	1256	0	-0.99558
GRM8	1	0.26882	0.26846	0.570848	202	0	-0.99558	0.73118	0.7311	0.767594	1249	0	-0.99558
C10orf53	1	0.26882	0.26846	0.570848	203	0	-0.99558	0.73118	0.7311	0.767594	1250	0	-0.99558
PITPNC1	1	0.26882	0.26846	0.570848	204	0	-0.99558	0.73118	0.7311	0.767594	1243	0	-0.99558
C18orf34	1	0.26882	0.26846	0.570848	205	0	-0.99558	0.73118	0.7311	0.767594	1244	0	-0.99558
NOX1	1	0.26882	0.26846	0.570848	206	0	-0.99558	0.73118	0.7311	0.767594	1253	0	-0.99558
TIMM8B	1	0.26882	0.26846	0.570848	207	0	-0.99558	0.73118	0.7311	0.767594	1254	0	-0.99558
ADRB1	1	0.26882	0.26846	0.570848	208	0	-0.99558	0.73118	0.7311	0.767594	1327	0	-0.99558
HOXC6	1	0.26882	0.26846	0.570848	209	0	-0.99558	0.73118	0.7311	0.767594	1328	0	-0.99558
CHD3	1	0.26882	0.26846	0.570848	210	0	-0.99558	0.73118	0.7311	0.767594	1329	0	-0.99558
SZT2	1	0.26882	0.26846	0.570848	211	0	-0.99558	0.73118	0.7311	0.767594	1330	0	-0.99558
KIAA1598	1	0.26882	0.26846	0.570848	212	0	-0.99558	0.73118	0.7311	0.767594	1347	0	-0.99558
KCNA10	1	0.26882	0.26846	0.570848	213	0	-0.99558	0.73118	0.7311	0.767594	1348	0	-0.99558
C4orf26	1	0.26882	0.26846	0.570848	214	0	-0.99558	0.73118	0.7311	0.767594	1349	0	-0.99558
LZIC	1	0.26882	0.26846	0.570848	215	0	-0.99558	0.73118	0.7311	0.767594	1350	0	-0.99558
PHF13	1	0.26882	0.26846	0.570848	216	0	-0.99558	0.73118	0.7311	0.767594	1324	0	-0.99558
GOLT1B	1	0.26882	0.26846	0.570848	217	0	-0.99558	0.73118	0.7311	0.767594	1338	0	-0.99558
CSNK2A1	1	0.26882	0.26846	0.570848	218	0	-0.99558	0.73118	0.7311	0.767594	1335	0	-0.99558
ZFC3H1	1	0.26882	0.26846	0.570848	219	0	-0.99558	0.73118	0.7311	0.767594	1332	0	-0.99558
BACE1	1	0.26882	0.26846	0.570848	220	0	-0.99558	0.73118	0.7311	0.767594	1337	0	-0.99558
SPERT	1	0.26882	0.26846	0.570848	221	0	-0.99558	0.73118	0.7311	0.767594	1326	0	-0.99558
PODXL2	1	0.26882	0.26846	0.570848	222	0	-0.99558	0.73118	0.7311	0.767594	1323	0	-0.99558
ARV1	1	0.26882	0.26846	0.570848	223	0	-0.99558	0.73118	0.7311	0.767594	1336	0	-0.99558
C1QTNF7	1	0.26882	0.26846	0.570848	224	0	-0.99558	0.73118	0.7311	0.767594	1325	0	-0.99558
RNF215	1	0.26882	0.26846	0.570848	225	0	-0.99558	0.73118	0.7311	0.767594	1416	0	-0.99558
PDE2A	1	0.26882	0.26846	0.570848	226	0	-0.99558	0.73118	0.7311	0.767594	1417	0	-0.99558
SELE	1	0.26882	0.26846	0.570848	227	0	-0.99558	0.73118	0.7311	0.767594	1418	0	-0.99558
C12orf49	1	0.26882	0.26846	0.570848	228	0	-0.99558	0.73118	0.7311	0.767594	1419	0	-0.99558
C17orf104	1	0.26882	0.26846	0.570848	229	0	-0.99558	0.73118	0.7311	0.767594	1404	0	-0.99558
TULP3	1	0.26882	0.26846	0.570848	230	0	-0.99558	0.73118	0.7311	0.767594	1405	0	-0.99558
ST14	1	0.26882	0.26846	0.570848	231	0	-0.99558	0.73118	0.7311	0.767594	1406	0	-0.99558
RHD	1	0.26882	0.26846	0.570848	232	0	-0.99558	0.73118	0.7311	0.767594	1407	0	-0.99558
NRXN2	1	0.26882	0.26846	0.570848	233	0	-0.99558	0.73118	0.7311	0.767594	1413	0	-0.99558
ZNF167	1	0.26882	0.26846	0.570848	234	0	-0.99558	0.73118	0.7311	0.767594	1395	0	-0.99558
IL1R1	1	0.26882	0.26846	0.570848	235	0	-0.99558	0.73118	0.7311	0.767594	1392	0	-0.99558
