Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
A1CF	10	0.10245	0.70072	0.396	0.86842	0.48348	0.86138	0.13532	0.91531	0.301	0.67411	0.36003	0.63163
AAAS	10	-0.10472	-0.7823	0.534	0.94312	0.43404	0.82049	-0.14428	-1.0343	0.474	0.79264	0.30099	0.5829
AAK1	10	-0.039154	-0.30216	0.866	0.9661	0.76253	0.93675	0.22114	1.5682	0.116	0.47755	0.11684	0.35731
AATF	10	-0.17361	-1.0481	0.254	0.74487	0.29459	0.74339	-0.86287	-5.043	0	0	4.5829e-07	2.8643e-05
AATK	10	0.35751	2.1186	0.015	0.28846	0.034122	0.34819	0.1099	0.65946	0.397	0.74164	0.5096	0.74594
ABCB8	10	0.32395	1.8425	0.026	0.35616	0.0654	0.42872	0.21494	1.2362	0.12	0.47809	0.21638	0.48734
ABCC1	10	-0.030723	-0.27584	0.917	0.9667	0.78267	0.93689	0.10924	0.89259	0.402	0.74307	0.37208	0.64151
ABCF1	10	0.062331	0.37792	0.596	0.94312	0.70549	0.92151	-0.12103	-0.75941	0.559	0.84743	0.44761	0.70268
ABHD14B	10	0.049722	0.41557	0.668	0.94312	0.67772	0.92151	-0.0032879	-0.030145	0.929	0.97584	0.97595	0.99374
ABI1	10	-0.0056576	0.10788	0.828	0.9661	0.91409	0.97973	-0.1507	-1.1739	0.447	0.77739	0.24045	0.51378
ABL1	10	0.31671	1.8855	0.027	0.36	0.059363	0.42872	-0.64237	-3.8663	0.003	0.054545	0.00011049	0.0026487
ABL2	10	0.22028	2.2063	0.103	0.58192	0.027362	0.31677	0.015193	0.15502	0.837	0.97326	0.8768	0.95721
ABLIM2	10	0.036228	0.3273	0.709	0.94312	0.74344	0.93427	0.18154	1.6889	0.18	0.55728	0.09123	0.31653
