Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
A1CF	10	0.10368	0.70072	0.427	0.92641	0.48348	0.86138	0.13532	0.91531	0.303	0.68539	0.36003	0.63163
AAAS	10	-0.10915	-0.7823	0.524	0.95446	0.43404	0.82049	-0.14428	-1.0343	0.466	0.80484	0.30099	0.5829
AAK1	10	-0.042623	-0.30216	0.839	0.97905	0.76253	0.93675	0.22114	1.5682	0.113	0.4856	0.11684	0.35731
AATF	10	-0.17883	-1.0481	0.292	0.81215	0.29459	0.74339	-0.86287	-5.043	0	0	4.5829e-07	2.8643e-05
AATK	10	0.35299	2.1186	0.005	0.14286	0.034122	0.34819	0.1099	0.65946	0.414	0.76952	0.5096	0.74594
ABCB8	10	0.32036	1.8425	0.013	0.23636	0.0654	0.42872	0.21494	1.2362	0.118	0.4856	0.21638	0.48734
ABCC1	10	-0.03379	-0.27584	0.888	0.98067	0.78267	0.93689	0.10924	0.89259	0.418	0.77007	0.37208	0.64151
ABCF1	10	0.06022	0.37792	0.618	0.9662	0.70549	0.92151	-0.12103	-0.75941	0.543	0.83689	0.44761	0.70268
ABHD14B	10	0.045334	0.41557	0.691	0.96779	0.67772	0.92151	-0.0032879	-0.030145	0.913	0.97231	0.97595	0.99374
ABI1	10	0.013846	0.10788	0.878	0.98067	0.91409	0.97973	-0.1507	-1.1739	0.449	0.79049	0.24045	0.51378
ABL1	10	0.31302	1.8855	0.017	0.27869	0.059363	0.42872	-0.64237	-3.8663	0.001	0.02	0.00011049	0.0026487
ABL2	10	0.21622	2.2063	0.101	0.57714	0.027362	0.31677	0.015193	0.15502	0.814	0.95657	0.8768	0.95721
ABLIM2	10	0.035223	0.3273	0.751	0.97154	0.74344	0.93427	0.18154	1.6889	0.181	0.56562	0.09123	0.31653
ABT1	10	-0.32102	-2.0398	0.063	0.50769	0.041368	0.36747	-0.56212	-3.5697	0.004	0.068966	0.0003574	0.0067435
ABTB1	10	-0.027861	-0.2241	0.91	0.98067	0.82268	0.95298	0.0413	0.33221	0.681	0.89605	0.73973	0.86823
ACAD11	10	-0.087066	-0.81223	0.62	0.9662	0.41666	0.80592	-0.059289	-0.55324	0.818	0.95716	0.5801	0.78286
ACAD9	10	-0.0062574	-0.041318	0.963	0.99176	0.96704	0.99451	-0.16152	-1.0664	0.421	0.77007	0.28623	0.56455
ACAT2	10	0.051288	0.37758	0.664	0.9662	0.70574	0.92151	0.12881	0.94974	0.32	0.69414	0.34224	0.62001
ACBD6	10	0.12835	0.97371	0.308	0.82493	0.3302	0.77149	-0.066069	-0.50116	0.788	0.94826	0.61626	0.80159
ACD	10	0.017588	0.21884	0.848	0.97945	0.82677	0.95318	0.056528	0.70362	0.622	0.87921	0.48167	0.72979
ACHE	10	-0.22143	-2.0577	0.186	0.73622	0.039615	0.36747	-0.18546	-1.7239	0.342	0.70741	0.084728	0.30368
ACIN1	10	-0.44306	-2.3781	0.012	0.23077	0.0174	0.26269	-0.87515	-4.6824	0	0	2.8352e-06	0.00013501
