Gene	sgRNA	eff
A1CF	A1CF_m52595977	1
A1CF	A1CF_m52596017	1
A1CF	A1CF_m52596056	1
A1CF	A1CF_m52603842	1
A1CF	A1CF_m52603847	1
A1CF	A1CF_p52595870	1
A1CF	A1CF_p52595881	1
A1CF	A1CF_p52596023	1
A1CF	A1CF_p52601638	1
A1CF	A1CF_p52603829	1
AAAS	AAAS_m53714382	1
AAAS	AAAS_m53715169	1
AAAS	AAAS_m53715176	1
AAAS	AAAS_m53715212	1
AAAS	AAAS_m53715238	1
AAAS	AAAS_p53714367	1
AAAS	AAAS_p53714374	1
AAAS	AAAS_p53714391	1
AAAS	AAAS_p53714405	1
AAAS	AAAS_p53714441	1
AAK1	AAK1_m69870049	1
AAK1	AAK1_m69870056	1
AAK1	AAK1_m69870103	1
AAK1	AAK1_m69870119	1
AAK1	AAK1_m69870125	1
AAK1	AAK1_m69870131	1
AAK1	AAK1_m69870137	1
AAK1	AAK1_p69870063	1
AAK1	AAK1_p69870070	1
AAK1	AAK1_p69870105	1
AATF	AATF_m35306444	1
AATF	AATF_m35306475	1
AATF	AATF_m35306482	1
AATF	AATF_m35306509	1
AATF	AATF_m35307516	1
AATF	AATF_m35307525	1
AATF	AATF_p35306410	1
AATF	AATF_p35306466	1
AATF	AATF_p35307505	1
AATF	AATF_p35307527	1
AATK	AATK_m79102275	1
AATK	AATK_m79102281	1
AATK	AATK_m79102298	1
AATK	AATK_m79102320	1
AATK	AATK_m79102325	1
AATK	AATK_p79102286	1
AATK	AATK_p79102311	1
AATK	AATK_p79104850	1
AATK	AATK_p79104858	1
AATK	AATK_p79104864	1
ABCB8	ABCB8_m150725643	1
ABCB8	ABCB8_m150725669	1
ABCB8	ABCB8_m150730720	1
ABCB8	ABCB8_p150725600	1
ABCB8	ABCB8_p150725605	1
ABCB8	ABCB8_p150725612	1
ABCB8	ABCB8_p150725675	1
ABCB8	ABCB8_p150730680	1
ABCB8	ABCB8_p150730705	1
ABCB8	ABCB8_p150730712	1
ABCC1	ABCC1_m16043636	1
ABCC1	ABCC1_m16043645	1
ABCC1	ABCC1_m16101705	1
ABCC1	ABCC1_m16101777	1
ABCC1	ABCC1_m16101788	1
ABCC1	ABCC1_m16101799	1
ABCC1	ABCC1_p16043597	1
ABCC1	ABCC1_p16101667	1
ABCC1	ABCC1_p16101710	1
ABCC1	ABCC1_p16101721	1
ABCF1	ABCF1_m30539291	1
ABCF1	ABCF1_p30539251	1
ABCF1	ABCF1_p30539272	1
ABCF1	ABCF1_p30545181	1
ABCF1	ABCF1_p30545587	1
ABCF1	ABCF1_p30545605	1
ABCF1	ABCF1_p30545610	1
ABCF1	ABCF1_p30545638	1
ABCF1	ABCF1_p30545878	1
ABCF1	ABCF1_p30545888	1
ABHD14B	ABHD14B_m52004073	1
ABHD14B	ABHD14B_m52004106	1
ABHD14B	ABHD14B_m52004113	1
ABHD14B	ABHD14B_m52004122	1
