id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ACTR8	10	4.1063e-06	5.489e-05	0.005489	1	8	-0.8638	0.99297	0.99305	0.995704	99	0	-0.8638
ACIN1	10	6.1097e-05	0.00045409	0.022705	2	9	-0.8802	0.99159	0.99171	0.995704	98	0	-0.8802
AHCY	10	0.00049561	0.003498	0.1166	3	6	-0.56069	0.0819	0.25234	0.914186	27	2	-0.56069
ABT1	10	0.0015551	0.0094361	0.180057	4	7	-0.58957	0.83056	0.92739	0.995704	90	1	-0.58957
AATF	10	0.0016054	0.0097754	0.180057	5	8	-0.70265	0.98651	0.98728	0.995704	96	1	-0.70265
ACLY	10	0.0018061	0.010803	0.180057	6	8	-0.80032	0.99583	0.9957	0.995704	100	0	-0.80032
AHCTF1	10	0.0031132	0.01727	0.246721	7	5	-0.23527	0.5672	0.79996	0.995704	77	3	-0.23527
AGBL5	10	0.0035912	0.019825	0.247817	8	8	-0.35789	0.76176	0.90201	0.995704	86	1	-0.35789
ADIRF	10	0.0057164	0.030205	0.335607	9	7	-0.38313	0.64117	0.83724	0.995704	83	2	-0.38313
ACTR3	10	0.0089049	0.042959	0.428824	10	6	-0.33481	0.84609	0.93264	0.995704	91	1	-0.33481
ABCF1	10	0.0099721	0.047171	0.428824	11	4	-0.082059	0.078923	0.24499	0.914186	26	4	-0.082059
ACTL6A	10	0.01963	0.083857	0.651518	12	6	-0.34362	0.51548	0.7668	0.995704	73	2	-0.34362
ADRB1	10	0.020241	0.085863	0.651518	13	3	0.11433	0.22036	0.48147	0.940782	48	5	0.11433
ACAD9	10	0.021728	0.091213	0.651518	14	5	-0.31684	0.034488	0.13521	0.65519	19	3	-0.31684
ACTRT3	10	0.02703	0.10993	0.732834	15	6	-0.42641	0.10323	0.29807	0.914186	30	3	-0.42641
ACHE	10	0.039537	0.14501	0.847444	16	5	-0.12062	0.84881	0.93353	0.995704	92	2	-0.12062
ACO2	10	0.042136	0.15205	0.847444	17	3	0.16994	0.23516	0.5013	0.940782	50	5	0.16994
ACTR1A	10	0.042308	0.15254	0.847444	18	5	-0.022985	0.016983	0.075145	0.65519	9	5	-0.022985
AFF3	10	0.051935	0.17736	0.933475	19	5	-0.23592	0.59228	0.8127	0.995704	79	3	-0.23592
ACP1	10	0.057443	0.19141	0.957061	20	6	-0.18317	0.99089	0.99101	0.995704	97	0	-0.18317
AAAS	10	0.067777	0.21661	0.999726	21	5	-0.29594	0.90661	0.95694	0.995704	94	2	-0.29594
AGPAT5	10	0.081383	0.24966	0.999726	22	5	-0.18272	0.88305	0.94687	0.995704	93	2	-0.18272
ABL1	10	0.083804	0.25511	0.999726	23	5	-0.21329	0.29633	0.58034	0.940782	60	2	-0.21329
