sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
AHRR_p344008	AHRR	251.35/221.99	1564.6/1502.5	236.67	1533.6	2.6908	430.84	5476.8	17.532	1	4.6563e-69	9.3126e-69	9.3033e-66	True
ADRA1A_m26722428	ADRA1A	0/0	68.136/184.24	4.4399	126.19	4.5473	0	84.012	13.329	1	2.1182e-40	4.2364e-40	2.1161e-37	True
ADRBK1_m67034181	ADRBK1	371.88/877.32	2395.5/1564.9	624.6	1980.2	1.6631	1.2774e+05	15186	11.038	1	1.9e-28	3.7999e-28	1.2654e-25	True
ACAD9_m128598565	ACAD9	739.35/925.27	2528/2050.7	832.31	2289.3	1.4586	17284	20534	10.22	1	1.3802e-24	2.7604e-24	6.894e-22	True
ADNP2_m77891006	ADNP2	0/0	15.772/168.79	4.4399	92.283	4.1	0	84.012	9.999	1	6.8208e-22	1.3642e-21	2.7256e-19	True
ACTR8_m53916081	ACTR8	1925.5/2054.8	194.94/235.17	1990.2	215.06	-3.2041	8351.5	51335	7.8001	2.3517e-15	1	4.7033e-15	7.8311e-13	False
ACRC_m70814198	ACRC	76.433/90.573	447.3/357.04	83.503	402.17	2.2543	99.97	1832.7	7.444	1	5.023e-14	1.0046e-13	1.4337e-11	True
ACIN1_m23538698	ACIN1	3424.8/3818.3	1992.3/690.05	3621.5	1341.2	-1.4324	77416	96320	7.3179	1.0095e-13	1	2.019e-13	2.5212e-11	False
ACRC_p70811990	ACRC	495.35/605.6	1159.6/1617.6	550.47	1388.6	1.3333	6077.7	13298	7.2681	1	1.827e-13	3.6539e-13	4.0558e-11	True
ACTR1A_p104250290	ACTR1A	605.59/738.79	2045.3/1120.9	672.19	1583.1	1.2346	8872.1	16404	7.1416	1	5.7081e-13	1.1416e-12	1.1405e-10	True
AHCY_p32883238	AHCY	61.735/218.44	614.49/452.6	140.09	533.54	1.9217	12279	3156.5	7.0316	1	1.2596e-12	2.5192e-12	2.2879e-10	True
ACSS2_p33500893	ACSS2	94.072/447.54	711.64/927.51	270.81	819.57	1.5941	62469	6309.8	6.9369	1	2.4499e-12	4.8997e-12	4.079e-10	True
ACIN1_m23538803	ACIN1	2432.6/2122.3	1067.5/155.63	2277.4	611.55	-1.8952	48168	59152	6.82	3.7035e-12	1	7.4071e-12	5.6921e-10	False
AATK_m79102275	AATK	912.79/772.54	2881.9/634.55	842.66	1758.2	1.0602	9835.4	20803	6.3833	1	1.0919e-10	2.1838e-10	1.5583e-08	True
