sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_58632	TRA2B	0	12.074	0.99388	12.074	2.7131	72.895	1.9782	7.8782	1	2.1849e-15	4.3698e-15	1.1143e-11	True
s_48676	RUFY3	0	10.062	0.99388	10.062	2.472	50.621	1.9782	6.4474	1	7.4856e-11	1.4971e-10	1.9088e-07	True
s_54172	ST8SIA4	0	9.0557	0.99388	9.0557	2.3344	41.003	1.9782	5.732	1	6.5296e-09	1.3059e-08	1.11e-05	True
s_57926	TMPRSS11E	0	8.0496	0.99388	8.0496	2.1823	32.398	1.9782	5.0166	1	3.46e-07	6.9201e-07	0.00044115	True
s_59718	TTLL6	0	7.0434	0.99388	7.0434	2.0122	24.804	1.9782	4.3012	0.99999	1.1176e-05	2.2351e-05	0.0081423	True
s_43295	PPAP2C	0	7.0434	0.99388	7.0434	2.0122	24.804	1.9782	4.3012	0.99999	1.1176e-05	2.2351e-05	0.0081423	True
s_19166	FABP3	0	7.0434	0.99388	7.0434	2.0122	24.804	1.9782	4.3012	0.99999	1.1176e-05	2.2351e-05	0.0081423	True
s_58142	TNFSF12	0	6.0372	0.99388	6.0372	1.8194	18.224	1.9782	3.5858	0.99978	0.00022108	0.00044215	0.11275	True
s_15418	DDX3Y	0	6.0372	0.99388	6.0372	1.8194	18.224	1.9782	3.5858	0.99978	0.00022108	0.00044215	0.11275	True
s_40267	PARK2	0	6.0372	0.99388	6.0372	1.8194	18.224	1.9782	3.5858	0.99978	0.00022108	0.00044215	0.11275	True
s_36773	NEURL4	2.9816	18.111	2.9816	18.111	2.263	114.46	19.772	3.4026	0.99955	0.00044574	0.00089147	0.20666	True
s_64297	ZNF611	0	5.031	0.99388	5.031	1.5968	12.655	1.9782	2.8704	0.9973	0.002697	0.0053939	0.69413	True
s_22723	GGT5	0	5.031	0.99388	5.031	1.5968	12.655	1.9782	2.8704	0.9973	0.002697	0.0053939	0.69413	True
s_64039	ZNF506	0	5.031	0.99388	5.031	1.5968	12.655	1.9782	2.8704	0.9973	0.002697	0.0053939	0.69413	True
s_14784	CYP4B1	0	4.0248	0.99388	4.0248	1.3335	8.0994	1.9782	2.155	0.9795	0.0205	0.041	0.69413	True
s_38414	NUP98	0	4.0248	0.99388	4.0248	1.3335	8.0994	1.9782	2.155	0.9795	0.0205	0.041	0.69413	True
s_61074	VAMP2	0	4.0248	0.99388	4.0248	1.3335	8.0994	1.9782	2.155	0.9795	0.0205	0.041	0.69413	True
s_31415	LPHN3	6.9572	0	6.9572	0	-2.9923	24.201	156.64	1.7566	0.039494	0.96051	0.078987	0.69413	False
s_8797	CADPS	4.9694	0	4.9694	0	-2.5776	12.348	67.757	1.5729	0.057872	0.94213	0.11574	0.69413	False
s_60614	UNC119	3.9755	0	3.9755	0	-2.3148	7.9024	39.266	1.4432	0.074482	0.92552	0.14896	0.69413	False
s_49497	SDCBP2	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_7715	C2orf70	0.99388	3.0186	0.99388	3.0186	1.0111	2.0497	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_12069	CLCA1	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_60077	UBA7	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_44098	PRKAR2B	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_41692	PHKB	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_5435	BIN1	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_13322	CPEB3	0	3.0186	0.99388	3.0186	1.0111	4.5559	1.9782	1.4396	0.90134	0.098665	0.19733	0.69413	True
s_35375	MUC1	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_16577	DNMT3A	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_22741	GH1	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_3120	AQP10	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_6427	C14orf133	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_33192	MCM9	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_54292	STAT5A	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_57422	TMEM198	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_18739	ESM1	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_37810	NR1I3	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_8699	CACNA1G	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_38525	OAS1	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_11456	CFH	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_30741	LDLR	2.9816	0	2.9816	0	-1.9934	4.4451	19.772	1.2643	0.10307	0.89693	0.20614	0.69413	False
s_21836	FXYD3	1.9878	5.031	1.9878	5.031	1.0133	4.6306	7.8814	1.084	0.817	0.183	0.36601	0.69413	True
s_42754	PML	3.9755	2.0124	3.9755	2.0124	-0.72394	1.927	39.266	1.0159	0.15484	0.84516	0.30968	0.69413	False
s_45063	PTMA	1.9878	1.0062	1.9878	1.0062	-0.5746	0.48174	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_61808	WDR66	1.9878	1.0062	1.9878	1.0062	-0.5746	0.48174	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_54925	SYN1	1.9878	1.0062	1.9878	1.0062	-0.5746	0.48174	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_64868	ZP4	1.9878	1.0062	1.9878	1.0062	-0.5746	0.48174	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_51702	SLC34A3	1.9878	1.0062	1.9878	1.0062	-0.5746	0.48174	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_63435	ZNF200	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_6525	C15orf39	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_51344	SLC25A13	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_964	ADAM18	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_42616	PLOD1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_27482	ING4	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_44189	PRLR	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_31344	LOXHD1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_8227	C7orf10	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_44270	PROM1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_50779	SIRPB1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_15800	DGKI	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_46657	RDH10	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_46717	REEP1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_24533	GUK1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_32418	MAGEE2	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_28288	JMJD1C	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_53055	SORBS1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_25337	HIPK4	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_1116	ADARB1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_58690	TRAK1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_39500	OR7D4	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_34529	MPP7	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_3297	ARHGAP26	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_42321	PLAC8L1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_16798	DPYD	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_13856	CSF3	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_62657	ZBTB47	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_60209	UBE2Q2	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_56819	TLR10	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_35811	MYOM3	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_60517	UGT2A1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_34918	MRVI1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_50761	SIPA1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_12611	CNGB1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_34294	MNT	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_56080	TEN1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_30870	LGALS14	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_52601	SMG7	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_63594	ZNF276	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_51528	SLC26A9	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_32689	MAP6	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_11877	CHST13	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_18145	EML2	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_48860	S100B	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_12021	CIZ1	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_2238	AMMECR1L	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_13338	CPLX3	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_4843	B4GALT7	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_36222	NCAPH2	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_59173	TRPC4	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_31294	LMX1A	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_9506	CCDC120	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_3152	AQP9	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
s_24204	GRP	1.9878	0	1.9878	0	-1.5791	1.9756	7.8814	0.98285	0.16284	0.83716	0.32568	0.69413	False
